model,y_pred,level_2,run_id
EXOENZYME,Inhibited,46418,monte_rerun_het_extend_vpro_3_43_14_EXOENZYME_C3__15_EXOENZYME_monte__46_lowN_all_EXOENZYME_h7858506243913481869
EXOENZYME,Strong,189113,monte_extend_EXOENZYME_292_monte_vpro_3_96_67_EXOENZYME_C4__27_EXOENZYME_3_lowN_all_EXOENZYME_h8519271514136708373
EXOENZYME,Sustained,49981,monte_rerun_het_extend_vpro_3_75_68_EXOENZYME_C2__11_EXOENZYME_monte__64_lowN_all_EXOENZYME_h264584472654301852
EXOENZYME,Weak,49768,monte_rerun_het_extend_vpro_3_67_63_EXOENZYME_C2__41_EXOENZYME_monte__6_lowN_all_EXOENZYME_h-6180882340471615466
OVERFLOW,Inhibited,329658,monte_extend_OVERFLOW_285_monte_vpro_3_47_41_OVERFLOW_C4__40_OVERFLOW_8_lowN_all_OVERFLOW_h6878164821315599434
OVERFLOW,Strong,93144,monte_rerun_het_extend_vpro_3_7_92_OVERFLOW_C4__33_OVERFLOW_monte__65_lowN_all_OVERFLOW_h-7707327742375835847
OVERFLOW,Sustained,85532,monte_rerun_het_extend_vpro_3_24_64_OVERFLOW_C2__95_OVERFLOW_monte__63_lowN_all_OVERFLOW_h2761469943960771481
OVERFLOW,Weak,88426,monte_rerun_het_extend_vpro_3_3_74_OVERFLOW_C2__5_OVERFLOW_monte__1_lowN_all_OVERFLOW_h-2838672536339258637
ROS,Strong,270254,monte_rerun_het_extend_vpro_3_29_46_ROS_C2__18_ROS_monte__1_lowN_all_ROS_h2233169236249162875
ROS,Sustained,124485,monte_ROS_65_monte_vpro_19_33_ROS_C0_37_lowN_all_ROS_h-8660846992299669535
ROS,Weak,193166,monte_extend_ROS_88_monte_vpro_3_90_89_ROS_C0__31_ROS_35_lowN_all_ROS_h-8660846992299669535
