Species,GTDB taxonomy,NCBI taxonID,Accession number,Filename
Ruegeria pomeroyi DSS-3,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria_B;s__Ruegeria_B pomeroyi,246200,GCA_000011965.2,GCA_000011965
Pseudoalteromonas haloplanktis TAC125,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas nigrifaciens,326442,GCA_000026085.1,GCA_000026085
Alteromonas macleodii HOT1A3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,529120,2687454166,2687453488
Marinobacter adhaerens HP15,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter adhaerens,225937,650377991,650377991
Phaeobacter gallaeciensis DSM 26640,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter gallaeciensis,1423144,GCA_000511385.1,GCA_000511385
Sulfitobacter pseudonitzschiae strain SMR1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter_C;s__Sulfitobacter_C pseudonitzschiae_A,1402135,CeMEB_private,Sulfitobacter_pseudonitzschiae_SMR1
