model,Phase,VPRO,Inhibited,Neutral,Other,Strong,Sustained,Weak,pos_interaction,neg_interaction,Versatile,simulations_per_VPRO,Versatile_STR,MODEL,EXOENZYME,OVERFLOW,ROS,MIXOTROPH,MIN,% positive,Versatile_STR_
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_15,0,0,0.0,0.0,0.0,24,0,24,False,24.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_20,0,1,2.0,0.0,9.0,77,9,77,True,89.0,Versatile VPRO,E,True,False,False,False,False,0.10112359550561797,Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_22,0,0,0.0,0.0,0.0,27,0,27,False,27.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_32,0,3,0.0,0.0,0.0,23,0,23,False,26.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_37,0,29,0.0,0.0,0.0,35,0,35,False,64.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_46,0,50,2.0,0.0,50.0,4,50,4,True,106.0,Versatile VPRO,E,True,False,False,False,False,0.4716981132075472,Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_54,0,12,25.0,0.0,1.0,38,1,38,True,76.0,Versatile VPRO,E,True,False,False,False,False,0.013157894736842105,Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_63,0,0,0.0,0.0,0.0,26,0,26,False,26.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_70,0,0,3.0,0.0,5.0,65,5,65,True,73.0,Versatile VPRO,E,True,False,False,False,False,0.0684931506849315,Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_74,0,5,0.0,0.0,0.0,16,0,16,False,21.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_77,0,7,0.0,0.0,0.0,18,0,18,False,25.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_79,0,22,0.0,0.0,0.0,34,0,34,False,56.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_82,0,0,0.0,0.0,0.0,37,0,37,False,37.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_94,0,51,29.0,0.0,0.0,4,0,4,False,84.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_11_62_EXOENZYME_C1_98,0,1,4.0,0.0,30.0,40,30,40,True,75.0,Versatile VPRO,E,True,False,False,False,False,0.4,Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_28,0,18,0.0,0.0,0.0,10,0,10,False,28.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_35,0,35,0.0,0.0,0.0,30,0,30,False,65.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_40,0,38,12.0,0.0,41.0,16,41,16,True,107.0,Versatile VPRO,E,True,False,False,False,False,0.38317757009345793,Versatile VPRO
