model,Phase,VPRO,Inhibited,Neutral,Other,Strong,Sustained,Weak,pos_interaction,neg_interaction,Versatile,simulations_per_VPRO,Versatile_STR,MODEL,EXOENZYME,OVERFLOW,ROS,MIXOTROPH,MIN,% positive,Versatile_STR_
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_42,0,6,0.0,0.0,47.0,49,47,49,True,102.0,Versatile VPRO,E,True,False,False,False,False,0.46078431372549017,Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_46,0,28,17.0,0.0,57.0,13,57,13,True,115.0,Versatile VPRO,E,True,False,False,False,False,0.4956521739130435,Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_49,0,19,38.0,51.0,12.0,0,63,0,False,120.0,Non-Versatile VPRO,E,True,False,False,False,False,0.525,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_51,0,24,18.0,0.0,59.0,10,59,10,True,111.0,Versatile VPRO,E,True,False,False,False,False,0.5315315315315315,Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_54,1,14,0.0,0.0,0.0,7,0,8,False,22.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_55,0,0,0.0,0.0,0.0,33,0,33,False,33.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_58,0,14,0.0,0.0,0.0,11,0,11,False,25.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_59,0,11,0.0,0.0,0.0,10,0,10,False,21.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_80,0,44,3.0,0.0,44.0,10,44,10,True,101.0,Versatile VPRO,E,True,False,False,False,False,0.43564356435643564,Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_84,3,19,0.0,0.0,0.0,12,0,15,False,34.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_91,0,62,6.0,0.0,33.0,0,33,0,False,101.0,Non-Versatile VPRO,E,True,False,False,False,False,0.32673267326732675,Non-Versatile VPRO
EXOENZYME,add,vpro_13_69_EXOENZYME_C1_94,0,0,0.0,0.0,0.0,32,0,32,False,32.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_16,0,50,0.0,0.0,35.0,10,35,10,True,95.0,Versatile VPRO,E,True,False,False,False,False,0.3684210526315789,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_30,0,0,0.0,0.0,0.0,38,0,38,False,38.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_48,0,2,0.0,0.0,0.0,26,0,26,False,28.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_56,0,0,0.0,0.0,0.0,56,0,56,False,56.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_61,0,54,0.0,0.0,33.0,8,33,8,True,95.0,Versatile VPRO,E,True,False,False,False,False,0.3473684210526316,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_63,0,41,0.0,0.0,46.0,16,46,16,True,103.0,Versatile VPRO,E,True,False,False,False,False,0.44660194174757284,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_75,0,31,7.0,0.0,36.0,20,36,20,True,94.0,Versatile VPRO,E,True,False,False,False,False,0.3829787234042553,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_76,0,49,1.0,0.0,0.0,23,0,23,False,73.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_78,0,16,12.0,0.0,49.0,24,49,24,True,101.0,Versatile VPRO,E,True,False,False,False,False,0.48514851485148514,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_92,0,54,0.0,0.0,0.0,12,0,12,False,66.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_94,0,56,8.0,0.0,33.0,9,33,9,True,106.0,Versatile VPRO,E,True,False,False,False,False,0.3113207547169811,Versatile VPRO
EXOENZYME,add,vpro_19_83_EXOENZYME_C1_97,0,77,0.0,0.0,0.0,0,0,0,False,77.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_1,0,49,0.0,0.0,0.0,0,0,0,False,49.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_37,0,21,37.0,0.0,50.0,8,50,8,True,116.0,Versatile VPRO,E,True,False,False,False,False,0.43103448275862066,Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_51,0,66,0.0,0.0,0.0,0,0,0,False,66.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_52,0,28,0.0,0.0,0.0,0,0,0,False,28.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_57,0,36,43.0,0.0,42.0,0,42,0,False,121.0,Non-Versatile VPRO,E,True,False,False,False,False,0.34710743801652894,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_67,0,63,0.0,0.0,0.0,0,0,0,False,63.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_70,0,48,28.0,0.0,0.0,0,0,0,False,76.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_72,0,72,0.0,0.0,0.0,0,0,0,False,72.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_75,0,35,23.0,3.0,54.0,0,57,0,False,115.0,Non-Versatile VPRO,E,True,False,False,False,False,0.4956521739130435,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_94,0,24,0.0,0.0,0.0,0,0,0,False,24.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_67_EXOENZYME_C3_95,0,75,5.0,0.0,0.0,8,0,8,False,88.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_0,0,66,0.0,0.0,0.0,0,0,0,False,66.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_13,0,26,31.0,0.0,53.0,4,53,4,True,114.0,Versatile VPRO,E,True,False,False,False,False,0.4649122807017544,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_14,0,44,15.0,0.0,0.0,4,0,4,False,63.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_16,0,63,0.0,0.0,0.0,11,0,11,False,74.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_18,0,41,36.0,0.0,0.0,13,0,13,False,90.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_19,0,23,0.0,0.0,0.0,2,0,2,False,25.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_27,0,21,8.0,0.0,33.0,34,33,34,True,96.0,Versatile VPRO,E,True,False,False,False,False,0.34375,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_3,0,60,0.0,0.0,0.0,0,0,0,False,60.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_30,0,51,6.0,0.0,35.0,5,35,5,True,97.0,Versatile VPRO,E,True,False,False,False,False,0.36082474226804123,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_37,0,11,0.0,0.0,0.0,7,0,7,False,18.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_40,0,10,0.0,0.0,0.0,6,0,6,False,16.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_41,0,50,1.0,0.0,47.0,7,47,7,True,105.0,Versatile VPRO,E,True,False,False,False,False,0.44761904761904764,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_44,0,38,39.0,0.0,0.0,8,0,8,False,85.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_49,0,40,17.0,0.0,48.0,3,48,3,True,108.0,Versatile VPRO,E,True,False,False,False,False,0.4444444444444444,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_5,0,28,29.0,0.0,45.0,3,45,3,True,105.0,Versatile VPRO,E,True,False,False,False,False,0.42857142857142855,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_56,0,38,0.0,0.0,0.0,0,0,0,False,38.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_58,0,50,0.0,0.0,32.0,11,32,11,True,93.0,Versatile VPRO,E,True,False,False,False,False,0.34408602150537637,Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_64,0,54,14.0,0.0,40.0,0,40,0,False,108.0,Non-Versatile VPRO,E,True,False,False,False,False,0.37037037037037035,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_71,0,15,0.0,0.0,0.0,10,0,10,False,25.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_72,0,26,0.0,0.0,0.0,0,0,0,False,26.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_73,0,32,26.0,15.0,29.0,0,44,0,False,102.0,Non-Versatile VPRO,E,True,False,False,False,False,0.43137254901960786,Non-Versatile VPRO
EXOENZYME,add,vpro_23_76_EXOENZYME_C2_96,0,51,0.0,0.0,0.0,0,0,0,False,51.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_15,0,40,47.0,0.0,0.0,0,0,0,False,87.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_16,0,37,51.0,0.0,3.0,1,3,1,True,92.0,Versatile VPRO,E,True,False,False,False,False,0.03260869565217391,Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_18,0,42,40.0,0.0,0.0,0,0,0,False,82.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_20,0,28,39.0,25.0,19.0,0,44,0,False,111.0,Non-Versatile VPRO,E,True,False,False,False,False,0.3963963963963964,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_25,0,54,0.0,0.0,0.0,12,0,12,False,66.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_28,0,29,36.0,0.0,0.0,0,0,0,False,65.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_39,0,77,0.0,0.0,0.0,0,0,0,False,77.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_42,0,14,34.0,48.0,20.0,0,68,0,False,116.0,Non-Versatile VPRO,E,True,False,False,False,False,0.5862068965517241,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_49,0,70,0.0,0.0,0.0,0,0,0,False,70.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_5,0,24,39.0,14.0,42.0,0,56,0,False,119.0,Non-Versatile VPRO,E,True,False,False,False,False,0.47058823529411764,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_60,0,27,0.0,0.0,0.0,0,0,0,False,27.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_67,0,57,30.0,0.0,0.0,0,0,0,False,87.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_24_46_EXOENZYME_C3_70,0,12,0.0,0.0,0.0,25,0,25,False,37.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_0,0,44,32.0,0.0,3.0,5,3,5,True,84.0,Versatile VPRO,E,True,False,False,False,False,0.03571428571428571,Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_18,0,24,15.0,0.0,34.0,17,34,17,True,90.0,Versatile VPRO,E,True,False,False,False,False,0.37777777777777777,Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_26,0,19,0.0,0.0,0.0,8,0,8,False,27.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_41,0,21,0.0,0.0,0.0,4,0,4,False,25.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_42,0,19,0.0,0.0,0.0,14,0,14,False,33.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_57,0,30,0.0,0.0,0.0,26,0,26,False,56.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_63,0,0,0.0,0.0,0.0,24,0,24,False,24.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_66,0,40,7.0,0.0,43.0,4,43,4,True,94.0,Versatile VPRO,E,True,False,False,False,False,0.4574468085106383,Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_73,0,16,0.0,0.0,0.0,8,0,8,False,24.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_86,0,29,0.0,0.0,0.0,1,0,1,False,30.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_30_17_EXOENZYME_C1_9,0,54,0.0,0.0,44.0,7,44,7,True,105.0,Versatile VPRO,E,True,False,False,False,False,0.41904761904761906,Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_0,0,28,0.0,0.0,0.0,0,0,0,False,28.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_10,0,38,11.0,0.0,37.0,19,37,19,True,105.0,Versatile VPRO,E,True,False,False,False,False,0.3523809523809524,Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_17,0,40,0.0,0.0,0.0,0,0,0,False,40.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_18,0,13,0.0,0.0,0.0,22,0,22,False,35.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_21,0,3,8.0,0.0,35.0,52,35,52,True,98.0,Versatile VPRO,E,True,False,False,False,False,0.35714285714285715,Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_22,0,30,11.0,0.0,38.0,14,38,14,True,93.0,Versatile VPRO,E,True,False,False,False,False,0.40860215053763443,Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_28,0,5,0.0,0.0,0.0,18,0,18,False,23.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_58,0,0,10.0,0.0,36.0,51,36,51,True,97.0,Versatile VPRO,E,True,False,False,False,False,0.3711340206185567,Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_77,0,0,0.0,0.0,0.0,68,0,68,False,68.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_81,0,50,12.0,10.0,42.0,0,52,0,False,114.0,Non-Versatile VPRO,E,True,False,False,False,False,0.45614035087719296,Non-Versatile VPRO
EXOENZYME,add,vpro_39_73_EXOENZYME_C2_83,0,50,30.0,0.0,9.0,4,9,4,True,93.0,Versatile VPRO,E,True,False,False,False,False,0.0967741935483871,Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_12,0,43,0.0,0.0,0.0,0,0,0,False,43.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_21,0,33,4.0,0.0,39.0,17,39,17,True,93.0,Versatile VPRO,E,True,False,False,False,False,0.41935483870967744,Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_25,0,38,0.0,0.0,0.0,1,0,1,False,39.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_36,0,12,0.0,0.0,0.0,9,0,9,False,21.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_45,0,33,19.0,9.0,39.0,0,48,0,False,100.0,Non-Versatile VPRO,E,True,False,False,False,False,0.48,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_54,0,63,0.0,0.0,0.0,0,0,0,False,63.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_60,0,0,0.0,0.0,0.0,32,0,32,False,32.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_8,0,30,27.0,7.0,58.0,0,65,0,False,122.0,Non-Versatile VPRO,E,True,False,False,False,False,0.5327868852459017,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_83,0,56,5.0,0.0,41.0,4,41,4,True,106.0,Versatile VPRO,E,True,False,False,False,False,0.3867924528301887,Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_86,0,24,28.0,10.0,45.0,0,55,0,False,107.0,Non-Versatile VPRO,E,True,False,False,False,False,0.514018691588785,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_88,0,67,0.0,0.0,0.0,0,0,0,False,67.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_43_14_EXOENZYME_C3_99,0,36,0.0,0.0,0.0,1,0,1,False,37.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_15,0,30,0.0,0.0,0.0,0,0,0,False,30.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_19,0,16,9.0,0.0,32.0,25,32,25,True,82.0,Versatile VPRO,E,True,False,False,False,False,0.3902439024390244,Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_2,0,0,0.0,0.0,0.0,53,0,53,False,53.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_22,0,21,25.0,39.0,26.0,0,65,0,False,111.0,Non-Versatile VPRO,E,True,False,False,False,False,0.5855855855855856,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_24,0,36,0.0,0.0,0.0,0,0,0,False,36.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_29,0,41,12.0,0.0,39.0,6,39,6,True,98.0,Versatile VPRO,E,True,False,False,False,False,0.3979591836734694,Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_30,0,16,0.0,0.0,0.0,8,0,8,False,24.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_48,0,21,0.0,0.0,0.0,11,0,11,False,32.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_49,0,30,0.0,0.0,0.0,17,0,17,False,47.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_55,0,73,6.0,0.0,0.0,1,0,1,False,80.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_61,0,39,0.0,0.0,0.0,0,0,0,False,39.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_63,0,35,44.0,0.0,0.0,1,0,1,False,80.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_69,0,28,0.0,0.0,0.0,18,0,18,False,46.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_8,0,43,0.0,0.0,0.0,0,0,0,False,43.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_90,0,42,0.0,0.0,0.0,13,0,13,False,55.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
EXOENZYME,add,vpro_48_16_EXOENZYME_C4_92,0,61,0.0,0.0,0.0,0,0,0,False,61.0,Non-Versatile VPRO,E,True,False,False,False,False,0.0,Non-Versatile VPRO
