,day,1A3,cc 1A3,cc mit9312,mit9312,cc Bh[N],Bh[N],cc Bp[N],Bp[N],cc Bh[C],Bh[C],cc Bp[C],Bp[C],t
0,0.0,9297512094.0,4698967434.0,717894736.8,1032629559.0,41.3509134192,81.8181064272,0.7896842104799999,1.1358925148999999,273.94980140219997,542.0449550802,5.23165789443,7.525287911212499,0.0
1,1.820833333,14692121630.0,4648133439.0,1753684211.0,1641074856.0,40.9035742632,129.29067034399998,1.9290526320999999,1.8051823416,270.9861794937,856.5506910289998,12.7799736876625,11.9593330131,157319.99997119998
2,4.832638889,6030062198.0,2996028594.0,9823157895.0,2853166987.0,26.3650516272,53.0645473424,10.805473684499999,3.1384836857,174.6684670302,351.5526261434,71.58626315981249,20.7924544177625,417540.0000096
3,6.853472222,4987214927.0,2290706910.0,28128421050.0,15760076780.0,20.158220808,43.8874913576,30.941263154999998,17.336084458,133.548212853,290.7546302441,204.985868401875,114.85155953424999,592139.9999808
4,8.779166667,2867311679.0,1598093725.0,62623157890.0,41133397310.0,14.063224779999999,25.2323427752,68.885473679,45.246737040999996,93.16886416749999,167.1642708857,456.366263123375,299.75963289662496,758520.0000288
5,11.80347222,3024879060.0,2579825258.0,84680000000.0,59585412670.0,22.702462270399998,26.618935727999997,93.148,65.543953937,150.4038125414,176.35044919799998,617.1055,434.22869483262497,1019819.9998079999
6,13.77083333,3148237733.0,3183478952.0,73972631580.0,60599808060.0,28.0146147776,27.7044920504,81.369894738,66.659788866,185.59682290159998,183.5422598339,539.07555263925,441.62110123725,1189799.9997120001
7,15.77430556,1311955771.0,3404289118.0,61912631580.0,23705374280.0,29.957744238399997,11.5452107848,68.103894738,26.075911708,198.47005557939997,76.4870214493,451.18830263924997,172.7529150655,1362900.0003840001
8,18.71527778,864132688.3000001,5151707705.0,51311578950.0,1071017274.0,45.335027804,7.60436765704,56.442736845,1.1781190013999998,300.3445592015,50.37893572789,373.933131598125,7.805038384274999,1617000.000192
9,20.77777778,946026261.1999999,3734710087.0,45723157890.0,578694817.7,32.8654487656,8.325031098559998,50.295473679,0.63656429947,217.7335980721,55.15333102795999,333.20751312337495,4.2172384839887505,1795200.000192
10,22.75347222,524740843.1000001,3801429706.0,38440000000.0,281573896.40000004,33.4525814128,4.61771941928,42.284,0.30973128604,221.6233518598,30.592391152730002,280.1315,2.051969770015,1965899.999808
11,25.72013889,806496199.0,4505162828.0,30611578950.0,,39.645432886399995,7.0971665512,33.672736844999996,,262.65099287239997,47.0187284017,223.08188159812497,,2222220.0000960003
12,27.79444444,874291637.9,5750595711.0,27768421050.0,,50.6052422568,7.69376641352,30.545263154999997,,335.25972995129996,50.97120248957,202.362368401875,,2401439.999616
13,29.74791667,729371112.6,10772041300.0,25892631580.0,,94.79396344,6.41846579088,28.481894737999998,,628.01000779,42.52233586458,188.69255263924998,,2570220.000288
14,32.72152778,727090532.0999999,4795869738.0,23747368420.0,,42.203653694399996,6.398396682479999,26.122105261999998,,279.5992057254,42.38937802142999,173.05894736074998,,2827140.000192
15,34.77152778,871803731.9,3812549643.0,21882105260.0,,33.5504368584,7.671872840719999,24.070315786,,222.27164418689998,50.82615756976999,159.46584208225,,3004260.000192
17,39.71388889,228940784.0,6583255814.0,22009695290.0,,57.9326511632,2.0146788991999998,24.210664818999998,,383.8038139562,13.347247707199998,160.395654425875,,3431280.000096
18,41.79097222,335613010.8,12389302330.0,19963296400.0,,109.025860504,2.95339449504,21.95962604,,722.2963258389999,19.56623852964,145.482522515,,3610739.999808
19,43.71736111,300417014.2,11672093020.0,22096952910.0,,102.714418576,2.6436697249599996,24.306648200999998,,680.483023066,17.514311927859996,161.03154433162499,,3777179.9999039997
20,46.77638889,301084236.90000004,10525116280.0,21136080330.0,,92.62102326399999,2.64954128472,23.249688362999997,,613.614279124,17.55321101127,154.029185404875,,4041480.000096
21,48.74652778,333861551.3,10013023260.0,20347645430.0,,88.114604688,2.93798165144,22.382409972999998,,583.759256058,19.46412844079,148.283466071125,,4211700.0001920005
22,50.74027778,224103419.5,10772093020.0,21540166200.0,,94.794418576,1.9721100915999998,23.694182819999998,,628.013023066,13.065229356849999,156.97396118249998,,4383960.000192
23,53.76388889,314595496.2,8856279070.0,15568213300.0,,77.935255816,2.7684403665599997,17.12503463,,516.321069781,18.34091742846,113.45335442374999,,4645200.000096
24,55.80069444,281234362.0,10536279070.0,16225761770.0,,92.719255816,2.4748623856,17.848337946999997,,614.265069781,16.3959633046,118.24523889887499,,4821179.999616
25,57.35138889,279065888.2,9908372093.0,15196329640.0,,87.1936744184,2.4557798161599997,16.715962603999998,,577.6580930219,16.269541282059997,110.74325225149998,,4955160.000096
26,62.35138889,284820683.9,9505116279.0,11868074790.0,,83.64502325519999,2.5064220183199994,13.054882268999998,,554.1482790657,16.605045871369995,86.48859503212499,,5387160.000096
